model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
AE,200,0,0.1,0,100,none,0,512,0,,"[0.55963, 0.0]","[-0.6519, 0.0]"
AE,200,0,0.1,0,100,none,0,256,0,,"[0.56793, 0.0]","[-0.63285, 0.0]"
AE,200,0,0.1,0,100,none,0,128,0,,"[0.57643, 0.0]","[-0.61576, 0.0]"
AE,200,0,0.01,0,100,none,0,512,0,,"[0.56094, 0.0]","[-0.65069, 0.0]"
AE,200,0,0.01,0,100,none,0,256,0,,"[0.57226, 0.0]","[-0.63161, 0.0]"
AE,200,0,0.01,0,100,none,0,128,0,,"[0.58041, 0.0]","[-0.61601, 0.0]"
AE,200,0,0.001,0,100,none,0,512,0,,"[0.57752, 0.0]","[-0.68468, 0.0]"
AE,200,0,0.001,0,100,none,0,256,0,,"[0.59133, 0.0]","[-0.6239, 0.0]"
AE,200,0,0.001,0,100,none,0,128,0,,"[0.59814, 0.0]","[-0.61278, 0.0]"
AE,200,0,0.0001,0,100,none,0,512,0,,"[0.69357, 0.0]","[-0.60421, 0.0]"
AE,200,0,0.0001,0,100,none,0,256,0,,"[0.69429, 0.0]","[-0.60288, 0.0]"
AE,200,0,0.0001,0,100,none,0,128,0,,"[0.69634, 0.0]","[-0.61528, 0.0]"
AE,200,0,1e-05,0,100,none,0,512,0,,"[0.70119, 0.0]","[-0.59222, 0.0]"
AE,200,0,1e-05,0,100,none,0,256,0,,"[0.70151, 0.0]","[-0.59116, 0.0]"
AE,200,0,1e-05,0,100,none,0,128,0,,"[0.70402, 0.0]","[-0.59279, 0.0]"
