model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Bridge-Var1-AE,200,0,0.1,0.1,100,none,0,512,0,,"[0.60863, 0.0]","[-0.68113, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.1,100,none,0,256,0,,"[0.61622, 0.0]","[-0.67861, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.1,100,none,0,128,0,,"[0.61761, 0.0]","[-0.67381, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.01,100,none,0,512,0,,"[0.58423, 0.0]","[-0.6346, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.01,100,none,0,256,0,,"[0.59253, 0.0]","[-0.60883, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.01,100,none,0,128,0,,"[0.59869, 0.0]","[-0.59016, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.001,100,none,0,512,0,,"[0.56565, 0.0]","[-0.64808, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.001,100,none,0,256,0,,"[0.57425, 0.0]","[-0.62741, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.001,100,none,0,128,0,,"[0.58195, 0.0]","[-0.60916, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.0001,100,none,0,512,0,,"[0.56272, 0.0]","[-0.64994, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.0001,100,none,0,256,0,,"[0.57139, 0.0]","[-0.62998, 0.0]"
Bridge-Var1-AE,200,0,0.1,0.0001,100,none,0,128,0,,"[0.57962, 0.0]","[-0.61209, 0.0]"
Bridge-Var1-AE,200,0,0.1,1e-05,100,none,0,512,0,,"[0.56243, 0.0]","[-0.65013, 0.0]"
Bridge-Var1-AE,200,0,0.1,1e-05,100,none,0,256,0,,"[0.5711, 0.0]","[-0.63025, 0.0]"
Bridge-Var1-AE,200,0,0.1,1e-05,100,none,0,128,0,,"[0.57935, 0.0]","[-0.6124, 0.0]"
Bridge-Var1-AE,200,0,0.01,0.1,100,none,0,512,0,,"[0.60522, 0.0]","[-0.60664, 0.0]"
