model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
AE,200,0,0.1,0,100,none,0,512,0,combine,"[0.5624, 0.0]","[-0.65015, 0.0]"
AE,200,0,0.1,0,100,none,0,256,0,combine,"[0.57104, 0.0]","[-0.63027, 0.0]"
AE,200,0,0.1,0,100,none,0,128,0,combine,"[0.57946, 0.0]","[-0.61239, 0.0]"
AE,200,0,0.01,0,100,none,0,512,0,combine,"[0.56331, 0.0]","[-0.64908, 0.0]"
AE,200,0,0.01,0,100,none,0,256,0,combine,"[0.57531, 0.0]","[-0.62921, 0.0]"
AE,200,0,0.01,0,100,none,0,128,0,combine,"[0.58305, 0.0]","[-0.61298, 0.0]"
AE,200,0,0.001,0,100,none,0,512,0,combine,"[0.58059, 0.0]","[-0.68443, 0.0]"
AE,200,0,0.001,0,100,none,0,256,0,combine,"[0.59381, 0.0]","[-0.62127, 0.0]"
AE,200,0,0.001,0,100,none,0,128,0,combine,"[0.60029, 0.0]","[-0.61027, 0.0]"
AE,200,0,0.0001,0,100,none,0,512,0,combine,"[0.69456, 0.0]","[-0.6012, 0.0]"
AE,200,0,0.0001,0,100,none,0,256,0,combine,"[0.69473, 0.0]","[-0.59874, 0.0]"
AE,200,0,0.0001,0,100,none,0,128,0,combine,"[0.69604, 0.0]","[-0.61302, 0.0]"
AE,200,0,1e-05,0,100,none,0,512,0,combine,"[0.7006, 0.0]","[-0.58704, 0.0]"
AE,200,0,1e-05,0,100,none,0,256,0,combine,"[0.70168, 0.0]","[-0.58849, 0.0]"
AE,200,0,1e-05,0,100,none,0,128,0,combine,"[0.70361, 0.0]","[-0.58834, 0.0]"
