model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Delay-AE,200,0,1e-05,0,100,none,0,128,1,,"[0.6859, 0.0]","[-0.66789, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,3,,"[0.70557, 0.0]","[-0.58784, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,5,,"[0.70459, 0.0]","[-0.59076, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,7,,"[0.70445, 0.0]","[-0.58997, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,9,,"[0.7043, 0.0]","[-0.59151, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,11,,"[0.70422, 0.0]","[-0.59179, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,13,,"[0.70416, 0.0]","[-0.59032, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,15,,"[0.70416, 0.0]","[-0.59176, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,17,,"[0.70423, 0.0]","[-0.59206, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,19,,"[0.70427, 0.0]","[-0.59079, 0.0]"
Delay-AE,200,0,1e-05,0,100,none,0,128,20,,"[0.70425, 0.0]","[-0.59026, 0.0]"
