model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL,metric,topK
WeightC-AE,200,0.0,1e-05,0.0,100,global,0.5,128,0,,"[0.7255, 0.0]","[-0.5817, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Bridge-Var1-AE,200,0.0,1e-05,0.01,100,none,0.0,256,0,,"[0.7318, 0.0]","[-0.5666, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
FeatureE-AE,200,0.0,1e-05,0.0,100,alter,0.0,128,5,,"[0.723, 0.0]","[-0.5803, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
WeightC-AE,200,0.0,1e-05,0.0,100,local,0.0,128,0,,"[0.7249, 0.0]","[-0.5826, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Delay-AE,200,0.0,1e-05,0.0,100,none,0.0,128,3,,"[0.7221, 0.0]","[-0.5856, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-WeightC-AE,200,0.0,1e-05,0.0,100,none,0.0,128,0,,"[0.7233, 0.0]","[-0.5825, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
AE,200,0.0,1e-05,0.0,100,none,0.0,128,0,combine,"[0.7213, 0.0]","[-0.5858, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-Refine-AE,200,0.0,1e-05,0.0,100,none,1.0,128,0,,"[0.7224, 0.0]","[-0.6253, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
FeatureE-AE,200,0.0,1e-05,0.0,100,concat,0.0,128,0,,"[0.7196, 0.0]","[-0.5799, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Old-Bridge-AE,200,0.0,1e-05,0.01,100,none,0.0,128,0,,"[0.7259, 0.0]","[-0.5621, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
AE,200,0.0,0.0001,0.0,200,none,0.0,64,0,unif,"[0.5397, 0.0]","[-0.5214, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
AE,200,0.0,1e-05,0.0,100,none,0.0,128,0,,"[0.7186, 0.0]","[-0.5907, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Bridge-Var2-AE,200,0.0,1e-05,0.01,100,none,0.0,128,0,,"[0.7307, 0.0]","[-0.5605, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
Refine-AE,200,0.9,1e-05,0.0,100,random,0.8,128,0,,"[0.7283, 0.0]","[-0.6207, 0.0]","['NLL', 'AUC']","[5, 10, 15, 20, 50]"
