model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
WeightC-AE,200,0,1e-05,0,100,global,0.1,128,0,,"[0.70344, 0.0]","[-0.58014, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.2,128,0,,"[0.70418, 0.0]","[-0.58127, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.3,128,0,,"[0.70396, 0.0]","[-0.58278, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.4,128,0,,"[0.70392, 0.0]","[-0.58396, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.5,128,0,,"[0.70442, 0.0]","[-0.5847, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.6,128,0,,"[0.7035, 0.0]","[-0.58512, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.7,128,0,,"[0.70349, 0.0]","[-0.58525, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.8,128,0,,"[0.70303, 0.0]","[-0.5854, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,0.9,128,0,,"[0.70279, 0.0]","[-0.58555, 0.0]"
WeightC-AE,200,0,1e-05,0,100,global,1.0,128,0,,"[0.70289, 0.0]","[-0.5857, 0.0]"
