model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
WeightC-AE,200,0,0.1,0,100,local,0,512,0,,"[0.5624, 0.0]","[-0.65015, 0.0]"
WeightC-AE,200,0,0.1,0,100,local,0,256,0,,"[0.57109, 0.0]","[-0.63028, 0.0]"
WeightC-AE,200,0,0.1,0,100,local,0,128,0,,"[0.57933, 0.0]","[-0.61244, 0.0]"
WeightC-AE,200,0,0.01,0,100,local,0,512,0,,"[0.56332, 0.0]","[-0.64923, 0.0]"
WeightC-AE,200,0,0.01,0,100,local,0,256,0,,"[0.57436, 0.0]","[-0.62938, 0.0]"
WeightC-AE,200,0,0.01,0,100,local,0,128,0,,"[0.58281, 0.0]","[-0.61296, 0.0]"
WeightC-AE,200,0,0.001,0,100,local,0,512,0,,"[0.58042, 0.0]","[-0.68448, 0.0]"
WeightC-AE,200,0,0.001,0,100,local,0,256,0,,"[0.59358, 0.0]","[-0.62152, 0.0]"
WeightC-AE,200,0,0.001,0,100,local,0,128,0,,"[0.60031, 0.0]","[-0.61017, 0.0]"
WeightC-AE,200,0,0.0001,0,100,local,0,512,0,,"[0.69248, 0.0]","[-0.6422, 0.0]"
WeightC-AE,200,0,0.0001,0,100,local,0,256,0,,"[0.69355, 0.0]","[-0.61548, 0.0]"
WeightC-AE,200,0,0.0001,0,100,local,0,128,0,,"[0.69464, 0.0]","[-0.61401, 0.0]"
WeightC-AE,200,0,1e-05,0,100,local,0,512,0,,"[0.70229, 0.0]","[-0.58757, 0.0]"
WeightC-AE,200,0,1e-05,0,100,local,0,256,0,,"[0.70197, 0.0]","[-0.58645, 0.0]"
WeightC-AE,200,0,1e-05,0,100,local,0,128,0,,"[0.70289, 0.0]","[-0.5857, 0.0]"
