model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Old-Refine-AE,200,0,1e-05,0,100,none,0.1,128,0,,"[0.70504, 0.0]","[-0.59605, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.2,128,0,,"[0.70563, 0.0]","[-0.60261, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.3,128,0,,"[0.70583, 0.0]","[-0.60681, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.4,128,0,,"[0.70619, 0.0]","[-0.61078, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.5,128,0,,"[0.7065, 0.0]","[-0.61438, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.6,128,0,,"[0.70651, 0.0]","[-0.61768, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.7,128,0,,"[0.70658, 0.0]","[-0.62068, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.8,128,0,,"[0.70674, 0.0]","[-0.62343, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,0.9,128,0,,"[0.7069, 0.0]","[-0.62604, 0.0]"
Old-Refine-AE,200,0,1e-05,0,100,none,1.0,128,0,,"[0.7072, 0.0]","[-0.62852, 0.0]"
