model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Refine-AE,200,0.4,1e-05,0,100,random,0.1,128,0,,"[0.70462, 0.0]","[-0.59948, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.2,128,0,,"[0.70556, 0.0]","[-0.61022, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.3,128,0,,"[0.70632, 0.0]","[-0.61591, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.4,128,0,,"[0.7067, 0.0]","[-0.62265, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.5,128,0,,"[0.70735, 0.0]","[-0.62874, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.6,128,0,,"[0.70725, 0.0]","[-0.63479, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.7,128,0,,"[0.7067, 0.0]","[-0.64077, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.8,128,0,,"[0.70634, 0.0]","[-0.6464, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,0.9,128,0,,"[0.70581, 0.0]","[-0.65157, 0.0]"
Refine-AE,200,0.4,1e-05,0,100,random,1.0,128,0,,"[0.7052, 0.0]","[-0.65632, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.1,128,0,,"[0.70438, 0.0]","[-0.59886, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.2,128,0,,"[0.70555, 0.0]","[-0.60939, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.3,128,0,,"[0.70646, 0.0]","[-0.61519, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.4,128,0,,"[0.70717, 0.0]","[-0.62188, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.5,128,0,,"[0.70769, 0.0]","[-0.62804, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.6,128,0,,"[0.70746, 0.0]","[-0.63422, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.7,128,0,,"[0.70706, 0.0]","[-0.64023, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.8,128,0,,"[0.70668, 0.0]","[-0.64585, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,0.9,128,0,,"[0.70609, 0.0]","[-0.65099, 0.0]"
Refine-AE,200,0.5,1e-05,0,100,random,1.0,128,0,,"[0.70562, 0.0]","[-0.65568, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.1,128,0,,"[0.70433, 0.0]","[-0.59842, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.2,128,0,,"[0.70543, 0.0]","[-0.60763, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.3,128,0,,"[0.70643, 0.0]","[-0.61506, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.4,128,0,,"[0.70724, 0.0]","[-0.62186, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.5,128,0,,"[0.70764, 0.0]","[-0.62823, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.6,128,0,,"[0.70738, 0.0]","[-0.63417, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.7,128,0,,"[0.70674, 0.0]","[-0.64081, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.8,128,0,,"[0.70623, 0.0]","[-0.64652, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,0.9,128,0,,"[0.70562, 0.0]","[-0.65172, 0.0]"
Refine-AE,200,0.6,1e-05,0,100,random,1.0,128,0,,"[0.70518, 0.0]","[-0.65644, 0.0]"
Refine-AE,200,0.7,1e-05,0,100,random,0.1,128,0,,"[0.70418, 0.0]","[-0.59871, 0.0]"
Refine-AE,200,0.7,1e-05,0,100,random,0.2,128,0,,"[0.70525, 0.0]","[-0.60769, 0.0]"
Refine-AE,200,0.7,1e-05,0,100,random,0.3,128,0,,"[0.70612, 0.0]","[-0.61375, 0.0]"
