model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
AE,200,0,0.1,0,200,none,0,128,0,unif,"[0.54798, 0.0]","[-0.66534, 0.0]"
AE,200,0,0.1,0,200,none,0,64,0,unif,"[0.54899, 0.0]","[-0.58751, 0.0]"
AE,200,0,0.1,0,200,none,0,32,0,unif,"[0.55094, 0.0]","[-0.52631, 0.0]"
AE,200,0,0.01,0,200,none,0,128,0,unif,"[0.54738, 0.0]","[-0.59308, 0.0]"
AE,200,0,0.01,0,200,none,0,64,0,unif,"[0.5494, 0.0]","[-0.58331, 0.0]"
AE,200,0,0.01,0,200,none,0,32,0,unif,"[0.55083, 0.0]","[-0.52631, 0.0]"
AE,200,0,0.001,0,200,none,0,128,0,unif,"[0.54735, 0.0]","[-0.66534, 0.0]"
AE,200,0,0.001,0,200,none,0,64,0,unif,"[0.54984, 0.0]","[-0.56028, 0.0]"
AE,200,0,0.001,0,200,none,0,32,0,unif,"[0.55442, 0.0]","[-0.55375, 0.0]"
AE,200,0,0.0001,0,200,none,0,128,0,unif,"[0.5523, 0.0]","[-0.54493, 0.0]"
AE,200,0,0.0001,0,200,none,0,64,0,unif,"[0.56478, 0.0]","[-0.51739, 0.0]"
AE,200,0,0.0001,0,200,none,0,32,0,unif,"[0.56176, 0.0]","[-0.53154, 0.0]"
AE,200,0,1e-05,0,200,none,0,128,0,unif,"[0.56268, 0.0]","[-0.4884, 0.0]"
AE,200,0,1e-05,0,200,none,0,64,0,unif,"[0.5628, 0.0]","[-0.49278, 0.0]"
AE,200,0,1e-05,0,200,none,0,32,0,unif,"[0.56268, 0.0]","[-0.52097, 0.0]"
