model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Bridge-Var2-MF,10,0,0.1,0.1,100,none,0,128,0,,"[0.72839, 0.0]","[-0.5581, 0.0]"
Bridge-Var2-MF,10,0,0.1,0.01,100,none,0,128,0,,"[0.72767, 0.0]","[-0.57025, 0.0]"
Bridge-Var2-MF,10,0,0.1,0.001,100,none,0,128,0,,"[0.72722, 0.0]","[-0.57191, 0.0]"
Bridge-Var2-MF,10,0,0.1,0.0001,100,none,0,128,0,,"[0.72718, 0.0]","[-0.57208, 0.0]"
Bridge-Var2-MF,10,0,0.1,1e-05,100,none,0,128,0,,"[0.72716, 0.0]","[-0.57213, 0.0]"
Bridge-Var2-MF,10,0,0.01,0.1,100,none,0,128,0,,"[0.72839, 0.0]","[-0.55804, 0.0]"
Bridge-Var2-MF,10,0,0.01,0.01,100,none,0,128,0,,"[0.72775, 0.0]","[-0.57014, 0.0]"
Bridge-Var2-MF,10,0,0.01,0.001,100,none,0,128,0,,"[0.72722, 0.0]","[-0.57178, 0.0]"
Bridge-Var2-MF,10,0,0.01,0.0001,100,none,0,128,0,,"[0.72717, 0.0]","[-0.57196, 0.0]"
Bridge-Var2-MF,10,0,0.01,1e-05,100,none,0,128,0,,"[0.72713, 0.0]","[-0.57224, 0.0]"
Bridge-Var2-MF,10,0,0.001,0.1,100,none,0,128,0,,"[0.72844, 0.0]","[-0.55804, 0.0]"
Bridge-Var2-MF,10,0,0.001,0.01,100,none,0,128,0,,"[0.72772, 0.0]","[-0.57013, 0.0]"
Bridge-Var2-MF,10,0,0.001,0.001,100,none,0,128,0,,"[0.72728, 0.0]","[-0.57177, 0.0]"
Bridge-Var2-MF,10,0,0.001,0.0001,100,none,0,128,0,,"[0.72719, 0.0]","[-0.57195, 0.0]"
Bridge-Var2-MF,10,0,0.001,1e-05,100,none,0,128,0,,"[0.72715, 0.0]","[-0.57199, 0.0]"
Bridge-Var2-MF,10,0,0.0001,0.1,100,none,0,128,0,,"[0.72861, 0.0]","[-0.55815, 0.0]"
Bridge-Var2-MF,10,0,0.0001,0.01,100,none,0,128,0,,"[0.72774, 0.0]","[-0.57034, 0.0]"
Bridge-Var2-MF,10,0,0.0001,0.001,100,none,0,128,0,,"[0.72755, 0.0]","[-0.572, 0.0]"
Bridge-Var2-MF,10,0,0.0001,0.0001,100,none,0,128,0,,"[0.72751, 0.0]","[-0.57218, 0.0]"
Bridge-Var2-MF,10,0,0.0001,1e-05,100,none,0,128,0,,"[0.72747, 0.0]","[-0.57222, 0.0]"
Bridge-Var2-MF,10,0,1e-05,0.1,100,none,0,128,0,,"[0.72991, 0.0]","[-0.55859, 0.0]"
Bridge-Var2-MF,10,0,1e-05,0.01,100,none,0,128,0,,"[0.7292, 0.0]","[-0.57089, 0.0]"
Bridge-Var2-MF,10,0,1e-05,0.001,100,none,0,128,0,,"[0.72879, 0.0]","[-0.57257, 0.0]"
Bridge-Var2-MF,10,0,1e-05,0.0001,100,none,0,128,0,,"[0.72867, 0.0]","[-0.57276, 0.0]"
Bridge-Var2-MF,10,0,1e-05,1e-05,100,none,0,128,0,,"[0.72852, 0.0]","[-0.57282, 0.0]"
