model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
CausE-MF,10,0,0.1,0.1,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.1,0.1,100,none,0,256,0,,"[0.7241, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.1,0.1,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.1,0.01,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.1,0.01,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.1,0.01,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.1,0.001,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.1,0.001,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.1,0.001,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.1,0.0001,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.1,0.0001,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.1,0.0001,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.1,1e-05,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.1,1e-05,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.1,1e-05,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.01,0.1,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.01,0.1,100,none,0,256,0,,"[0.7241, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.01,0.1,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59333, 0.0]"
CausE-MF,10,0,0.01,0.01,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.01,0.01,100,none,0,256,0,,"[0.7241, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.01,0.01,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.01,0.001,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.01,0.001,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.01,0.001,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.01,0.0001,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.01,0.0001,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.01,0.0001,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.01,1e-05,100,none,0,512,0,,"[0.72405, 0.0]","[-0.59303, 0.0]"
CausE-MF,10,0,0.01,1e-05,100,none,0,256,0,,"[0.72411, 0.0]","[-0.59322, 0.0]"
CausE-MF,10,0,0.01,1e-05,100,none,0,128,0,,"[0.72417, 0.0]","[-0.59332, 0.0]"
CausE-MF,10,0,0.001,0.1,100,none,0,512,0,,"[0.72326, 0.0]","[-0.59134, 0.0]"
CausE-MF,10,0,0.001,0.1,100,none,0,256,0,,"[0.72264, 0.0]","[-0.59109, 0.0]"
CausE-MF,10,0,0.001,0.1,100,none,0,128,0,,"[0.7195, 0.0]","[-0.5914, 0.0]"
CausE-MF,10,0,0.001,0.01,100,none,0,512,0,,"[0.72146, 0.0]","[-0.59109, 0.0]"
CausE-MF,10,0,0.001,0.01,100,none,0,256,0,,"[0.71877, 0.0]","[-0.5895, 0.0]"
CausE-MF,10,0,0.001,0.01,100,none,0,128,0,,"[0.7159, 0.0]","[-0.59036, 0.0]"
CausE-MF,10,0,0.001,0.001,100,none,0,512,0,,"[0.72287, 0.0]","[-0.59083, 0.0]"
CausE-MF,10,0,0.001,0.001,100,none,0,256,0,,"[0.72201, 0.0]","[-0.5877, 0.0]"
CausE-MF,10,0,0.001,0.001,100,none,0,128,0,,"[0.71892, 0.0]","[-0.59026, 0.0]"
CausE-MF,10,0,0.001,0.0001,100,none,0,512,0,,"[0.72228, 0.0]","[-0.58976, 0.0]"
CausE-MF,10,0,0.001,0.0001,100,none,0,256,0,,"[0.72312, 0.0]","[-0.58829, 0.0]"
CausE-MF,10,0,0.001,0.0001,100,none,0,128,0,,"[0.72342, 0.0]","[-0.58927, 0.0]"
CausE-MF,10,0,0.001,1e-05,100,none,0,512,0,,"[0.72182, 0.0]","[-0.59097, 0.0]"
CausE-MF,10,0,0.001,1e-05,100,none,0,256,0,,"[0.72201, 0.0]","[-0.58865, 0.0]"
CausE-MF,10,0,0.001,1e-05,100,none,0,128,0,,"[0.72201, 0.0]","[-0.59023, 0.0]"
CausE-MF,10,0,0.0001,0.1,100,none,0,512,0,,"[0.71638, 0.0]","[-0.59186, 0.0]"
CausE-MF,10,0,0.0001,0.1,100,none,0,256,0,,"[0.71658, 0.0]","[-0.59182, 0.0]"
CausE-MF,10,0,0.0001,0.1,100,none,0,128,0,,"[0.71657, 0.0]","[-0.59187, 0.0]"
CausE-MF,10,0,0.0001,0.01,100,none,0,512,0,,"[0.71533, 0.0]","[-0.59283, 0.0]"
CausE-MF,10,0,0.0001,0.01,100,none,0,256,0,,"[0.7149, 0.0]","[-0.59311, 0.0]"
CausE-MF,10,0,0.0001,0.01,100,none,0,128,0,,"[0.71417, 0.0]","[-0.59359, 0.0]"
CausE-MF,10,0,0.0001,0.001,100,none,0,512,0,,"[0.71937, 0.0]","[-0.59191, 0.0]"
CausE-MF,10,0,0.0001,0.001,100,none,0,256,0,,"[0.7213, 0.0]","[-0.59169, 0.0]"
CausE-MF,10,0,0.0001,0.001,100,none,0,128,0,,"[0.71879, 0.0]","[-0.59528, 0.0]"
CausE-MF,10,0,0.0001,0.0001,100,none,0,512,0,,"[0.714, 0.0]","[-0.59509, 0.0]"
CausE-MF,10,0,0.0001,0.0001,100,none,0,256,0,,"[0.7191, 0.0]","[-0.59184, 0.0]"
CausE-MF,10,0,0.0001,0.0001,100,none,0,128,0,,"[0.71902, 0.0]","[-0.59519, 0.0]"
CausE-MF,10,0,0.0001,1e-05,100,none,0,512,0,,"[0.71362, 0.0]","[-0.59521, 0.0]"
CausE-MF,10,0,0.0001,1e-05,100,none,0,256,0,,"[0.71812, 0.0]","[-0.59372, 0.0]"
CausE-MF,10,0,0.0001,1e-05,100,none,0,128,0,,"[0.71844, 0.0]","[-0.59533, 0.0]"
CausE-MF,10,0,1e-05,0.1,100,none,0,512,0,,"[0.71462, 0.0]","[-0.5923, 0.0]"
CausE-MF,10,0,1e-05,0.1,100,none,0,256,0,,"[0.71594, 0.0]","[-0.59219, 0.0]"
CausE-MF,10,0,1e-05,0.1,100,none,0,128,0,,"[0.71617, 0.0]","[-0.59209, 0.0]"
CausE-MF,10,0,1e-05,0.01,100,none,0,512,0,,"[0.71356, 0.0]","[-0.5952, 0.0]"
CausE-MF,10,0,1e-05,0.01,100,none,0,256,0,,"[0.71447, 0.0]","[-0.59416, 0.0]"
CausE-MF,10,0,1e-05,0.01,100,none,0,128,0,,"[0.71411, 0.0]","[-0.59427, 0.0]"
CausE-MF,10,0,1e-05,0.001,100,none,0,512,0,,"[0.71603, 0.0]","[-0.59766, 0.0]"
CausE-MF,10,0,1e-05,0.001,100,none,0,256,0,,"[0.71874, 0.0]","[-0.59679, 0.0]"
CausE-MF,10,0,1e-05,0.001,100,none,0,128,0,,"[0.71825, 0.0]","[-0.59594, 0.0]"
CausE-MF,10,0,1e-05,0.0001,100,none,0,512,0,,"[0.71245, 0.0]","[-0.60546, 0.0]"
