model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
MF,10,0,0.1,0,100,none,0,512,0,combine,"[0.72582, 0.0]","[-0.58753, 0.0]"
MF,10,0,0.1,0,100,none,0,256,0,combine,"[0.72586, 0.0]","[-0.58772, 0.0]"
MF,10,0,0.1,0,100,none,0,128,0,combine,"[0.72591, 0.0]","[-0.58783, 0.0]"
MF,10,0,0.01,0,100,none,0,512,0,combine,"[0.72582, 0.0]","[-0.58753, 0.0]"
MF,10,0,0.01,0,100,none,0,256,0,combine,"[0.72586, 0.0]","[-0.58772, 0.0]"
MF,10,0,0.01,0,100,none,0,128,0,combine,"[0.72591, 0.0]","[-0.58783, 0.0]"
MF,10,0,0.001,0,100,none,0,512,0,combine,"[0.72343, 0.0]","[-0.58477, 0.0]"
MF,10,0,0.001,0,100,none,0,256,0,combine,"[0.72302, 0.0]","[-0.58121, 0.0]"
MF,10,0,0.001,0,100,none,0,128,0,combine,"[0.71919, 0.0]","[-0.58439, 0.0]"
MF,10,0,0.0001,0,100,none,0,512,0,combine,"[0.7158, 0.0]","[-0.58742, 0.0]"
MF,10,0,0.0001,0,100,none,0,256,0,combine,"[0.71549, 0.0]","[-0.58692, 0.0]"
MF,10,0,0.0001,0,100,none,0,128,0,combine,"[0.71467, 0.0]","[-0.58755, 0.0]"
MF,10,0,1e-05,0,100,none,0,512,0,combine,"[0.71172, 0.0]","[-0.59017, 0.0]"
MF,10,0,1e-05,0,100,none,0,256,0,combine,"[0.71295, 0.0]","[-0.59212, 0.0]"
MF,10,0,1e-05,0,100,none,0,128,0,combine,"[0.71394, 0.0]","[-0.59053, 0.0]"
