model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Delay-MF,10,0,0.1,0,100,none,0,128,1,,"[0.67895, 0.0]","[-0.53664, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,3,,"[0.69899, 0.0]","[-0.53253, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,5,,"[0.7106, 0.0]","[-0.53913, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,7,,"[0.71747, 0.0]","[-0.54555, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,9,,"[0.72058, 0.0]","[-0.55075, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,11,,"[0.7227, 0.0]","[-0.55392, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,13,,"[0.72491, 0.0]","[-0.55669, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,15,,"[0.7252, 0.0]","[-0.56023, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,17,,"[0.72631, 0.0]","[-0.56176, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,19,,"[0.72661, 0.0]","[-0.56422, 0.0]"
Delay-MF,10,0,0.1,0,100,none,0,128,20,,"[0.72697, 0.0]","[-0.56552, 0.0]"
