model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
WeightC-MF,10,0,0.1,0,100,global,0.1,128,0,,"[0.72307, 0.0]","[-0.55704, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.2,128,0,,"[0.72636, 0.0]","[-0.56853, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.3,128,0,,"[0.72704, 0.0]","[-0.57512, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.4,128,0,,"[0.72704, 0.0]","[-0.57865, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.5,128,0,,"[0.7269, 0.0]","[-0.58081, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.6,128,0,,"[0.72671, 0.0]","[-0.58273, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.7,128,0,,"[0.72654, 0.0]","[-0.58486, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.8,128,0,,"[0.72634, 0.0]","[-0.58605, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,0.9,128,0,,"[0.72622, 0.0]","[-0.58702, 0.0]"
WeightC-MF,10,0,0.1,0,100,global,1,128,0,,"[0.72591, 0.0]","[-0.58782, 0.0]"
