model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
IPS-MF,10,0,0.1,0,100,none,0,512,0,,"[0.71942, 0.0]","[-0.44414, 0.0]"
IPS-MF,10,0,0.1,0,100,none,0,256,0,,"[0.71957, 0.0]","[-0.44444, 0.0]"
IPS-MF,10,0,0.1,0,100,none,0,128,0,,"[0.71952, 0.0]","[-0.44812, 0.0]"
IPS-MF,10,0,0.01,0,100,none,0,512,0,,"[0.72778, 0.0]","[-0.45036, 0.0]"
IPS-MF,10,0,0.01,0,100,none,0,256,0,,"[0.71704, 0.0]","[-0.45781, 0.0]"
IPS-MF,10,0,0.01,0,100,none,0,128,0,,"[0.70636, 0.0]","[-0.47022, 0.0]"
IPS-MF,10,0,0.001,0,100,none,0,512,0,,"[0.69937, 0.0]","[-0.46333, 0.0]"
IPS-MF,10,0,0.001,0,100,none,0,256,0,,"[0.69836, 0.0]","[-0.46357, 0.0]"
IPS-MF,10,0,0.001,0,100,none,0,128,0,,"[0.69566, 0.0]","[-0.46191, 0.0]"
IPS-MF,10,0,0.0001,0,100,none,0,512,0,,"[0.69581, 0.0]","[-0.46449, 0.0]"
IPS-MF,10,0,0.0001,0,100,none,0,256,0,,"[0.6965, 0.0]","[-0.46507, 0.0]"
IPS-MF,10,0,0.0001,0,100,none,0,128,0,,"[0.69447, 0.0]","[-0.46241, 0.0]"
IPS-MF,10,0,1e-05,0,100,none,0,512,0,,"[0.69536, 0.0]","[-0.46476, 0.0]"
IPS-MF,10,0,1e-05,0,100,none,0,256,0,,"[0.6964, 0.0]","[-0.46523, 0.0]"
IPS-MF,10,0,1e-05,0,100,none,0,128,0,,"[0.69434, 0.0]","[-0.46246, 0.0]"
