model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
WeightC-MF,10,0,0.1,0,100,local,0,512,0,,"[0.72674, 0.0]","[-0.57351, 0.0]"
WeightC-MF,10,0,0.1,0,100,local,0,256,0,,"[0.72677, 0.0]","[-0.57356, 0.0]"
WeightC-MF,10,0,0.1,0,100,local,0,128,0,,"[0.72685, 0.0]","[-0.57289, 0.0]"
WeightC-MF,10,0,0.01,0,100,local,0,512,0,,"[0.72672, 0.0]","[-0.57293, 0.0]"
WeightC-MF,10,0,0.01,0,100,local,0,256,0,,"[0.72684, 0.0]","[-0.57342, 0.0]"
WeightC-MF,10,0,0.01,0,100,local,0,128,0,,"[0.7269, 0.0]","[-0.57281, 0.0]"
WeightC-MF,10,0,0.001,0,100,local,0,512,0,,"[0.72674, 0.0]","[-0.57287, 0.0]"
WeightC-MF,10,0,0.001,0,100,local,0,256,0,,"[0.72686, 0.0]","[-0.57337, 0.0]"
WeightC-MF,10,0,0.001,0,100,local,0,128,0,,"[0.72693, 0.0]","[-0.57281, 0.0]"
WeightC-MF,10,0,0.0001,0,100,local,0,512,0,,"[0.72687, 0.0]","[-0.5733, 0.0]"
WeightC-MF,10,0,0.0001,0,100,local,0,256,0,,"[0.72705, 0.0]","[-0.57363, 0.0]"
WeightC-MF,10,0,0.0001,0,100,local,0,128,0,,"[0.72729, 0.0]","[-0.57448, 0.0]"
WeightC-MF,10,0,1e-05,0,100,local,0,512,0,,"[0.72784, 0.0]","[-0.57298, 0.0]"
WeightC-MF,10,0,1e-05,0,100,local,0,256,0,,"[0.72673, 0.0]","[-0.57334, 0.0]"
WeightC-MF,10,0,1e-05,0,100,local,0,128,0,,"[0.72528, 0.0]","[-0.5737, 0.0]"
