model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
MF,10,0,0.1,0,100,none,0,512,0,,"[0.72365, 0.0]","[-0.59489, 0.0]"
MF,10,0,0.1,0,100,none,0,256,0,,"[0.72381, 0.0]","[-0.59517, 0.0]"
MF,10,0,0.1,0,100,none,0,128,0,,"[0.7239, 0.0]","[-0.59533, 0.0]"
MF,10,0,0.01,0,100,none,0,512,0,,"[0.72366, 0.0]","[-0.59489, 0.0]"
MF,10,0,0.01,0,100,none,0,256,0,,"[0.72381, 0.0]","[-0.59517, 0.0]"
MF,10,0,0.01,0,100,none,0,128,0,,"[0.7239, 0.0]","[-0.59533, 0.0]"
MF,10,0,0.001,0,100,none,0,512,0,,"[0.71706, 0.0]","[-0.59514, 0.0]"
MF,10,0,0.001,0,100,none,0,256,0,,"[0.71123, 0.0]","[-0.59156, 0.0]"
MF,10,0,0.001,0,100,none,0,128,0,,"[0.71459, 0.0]","[-0.59375, 0.0]"
MF,10,0,0.0001,0,100,none,0,512,0,,"[0.70925, 0.0]","[-0.59938, 0.0]"
MF,10,0,0.0001,0,100,none,0,256,0,,"[0.70769, 0.0]","[-0.59896, 0.0]"
MF,10,0,0.0001,0,100,none,0,128,0,,"[0.70687, 0.0]","[-0.59776, 0.0]"
MF,10,0,1e-05,0,100,none,0,512,0,,"[0.70675, 0.0]","[-0.5998, 0.0]"
MF,10,0,1e-05,0,100,none,0,256,0,,"[0.70501, 0.0]","[-0.6006, 0.0]"
MF,10,0,1e-05,0,100,none,0,128,0,,"[0.70452, 0.0]","[-0.60094, 0.0]"
