model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Old-Bridge-MF,10,0,0.1,0.1,100,none,0,128,0,,"[0.72665, 0.0]","[-0.57969, 0.0]"
Old-Bridge-MF,10,0,0.1,0.01,100,none,0,128,0,,"[0.72367, 0.0]","[-0.59449, 0.0]"
Old-Bridge-MF,10,0,0.1,0.001,100,none,0,128,0,,"[0.72325, 0.0]","[-0.59632, 0.0]"
Old-Bridge-MF,10,0,0.1,0.0001,100,none,0,128,0,,"[0.72317, 0.0]","[-0.59654, 0.0]"
Old-Bridge-MF,10,0,0.1,1e-05,100,none,0,128,0,,"[0.72314, 0.0]","[-0.59665, 0.0]"
Old-Bridge-MF,10,0,0.01,0.1,100,none,0,128,0,,"[0.72664, 0.0]","[-0.57969, 0.0]"
Old-Bridge-MF,10,0,0.01,0.01,100,none,0,128,0,,"[0.72367, 0.0]","[-0.59449, 0.0]"
Old-Bridge-MF,10,0,0.01,0.001,100,none,0,128,0,,"[0.72325, 0.0]","[-0.59632, 0.0]"
Old-Bridge-MF,10,0,0.01,0.0001,100,none,0,128,0,,"[0.72318, 0.0]","[-0.59654, 0.0]"
Old-Bridge-MF,10,0,0.01,1e-05,100,none,0,128,0,,"[0.72314, 0.0]","[-0.59665, 0.0]"
Old-Bridge-MF,10,0,0.001,0.1,100,none,0,128,0,,"[0.72651, 0.0]","[-0.57939, 0.0]"
Old-Bridge-MF,10,0,0.001,0.01,100,none,0,128,0,,"[0.72353, 0.0]","[-0.59424, 0.0]"
Old-Bridge-MF,10,0,0.001,0.001,100,none,0,128,0,,"[0.72317, 0.0]","[-0.5951, 0.0]"
Old-Bridge-MF,10,0,0.001,0.0001,100,none,0,128,0,,"[0.72311, 0.0]","[-0.59525, 0.0]"
Old-Bridge-MF,10,0,0.001,1e-05,100,none,0,128,0,,"[0.72299, 0.0]","[-0.5954, 0.0]"
Old-Bridge-MF,10,0,0.0001,0.1,100,none,0,128,0,,"[0.72505, 0.0]","[-0.58493, 0.0]"
Old-Bridge-MF,10,0,0.0001,0.01,100,none,0,128,0,,"[0.72311, 0.0]","[-0.59402, 0.0]"
Old-Bridge-MF,10,0,0.0001,0.001,100,none,0,128,0,,"[0.72277, 0.0]","[-0.59507, 0.0]"
Old-Bridge-MF,10,0,0.0001,0.0001,100,none,0,128,0,,"[0.7229, 0.0]","[-0.59521, 0.0]"
Old-Bridge-MF,10,0,0.0001,1e-05,100,none,0,128,0,,"[0.72283, 0.0]","[-0.59537, 0.0]"
Old-Bridge-MF,10,0,1e-05,0.1,100,none,0,128,0,,"[0.72487, 0.0]","[-0.58493, 0.0]"
Old-Bridge-MF,10,0,1e-05,0.01,100,none,0,128,0,,"[0.7232, 0.0]","[-0.59394, 0.0]"
Old-Bridge-MF,10,0,1e-05,0.001,100,none,0,128,0,,"[0.72287, 0.0]","[-0.59499, 0.0]"
Old-Bridge-MF,10,0,1e-05,0.0001,100,none,0,128,0,,"[0.72281, 0.0]","[-0.59515, 0.0]"
Old-Bridge-MF,10,0,1e-05,1e-05,100,none,0,128,0,,"[0.72278, 0.0]","[-0.59531, 0.0]"
