model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Old-Refine-MF,10,0,0.1,0,100,none,0.1,128,0,,"[0.7243, 0.0]","[-0.60297, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.2,128,0,,"[0.72568, 0.0]","[-0.61059, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.3,128,0,,"[0.72694, 0.0]","[-0.61826, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.4,128,0,,"[0.72825, 0.0]","[-0.62595, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.5,128,0,,"[0.72955, 0.0]","[-0.63362, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.6,128,0,,"[0.73082, 0.0]","[-0.6412, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.7,128,0,,"[0.7319, 0.0]","[-0.64869, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.8,128,0,,"[0.73307, 0.0]","[-0.65603, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,0.9,128,0,,"[0.73399, 0.0]","[-0.66321, 0.0]"
Old-Refine-MF,10,0,0.1,0,100,none,1.0,128,0,,"[0.73501, 0.0]","[-0.67021, 0.0]"
