model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
Refine-MF,10,0.4,0.1,0,100,random,0.1,128,0,,"[0.72511, 0.0]","[-0.60265, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.2,128,0,,"[0.72706, 0.0]","[-0.61086, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.3,128,0,,"[0.72861, 0.0]","[-0.61915, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.4,128,0,,"[0.73, 0.0]","[-0.62745, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.5,128,0,,"[0.73143, 0.0]","[-0.63572, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.6,128,0,,"[0.7329, 0.0]","[-0.64392, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.7,128,0,,"[0.73416, 0.0]","[-0.65199, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.8,128,0,,"[0.73523, 0.0]","[-0.65989, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,0.9,128,0,,"[0.73634, 0.0]","[-0.66759, 0.0]"
Refine-MF,10,0.4,0.1,0,100,random,1.0,128,0,,"[0.73738, 0.0]","[-0.67508, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.1,128,0,,"[0.72459, 0.0]","[-0.60726, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.2,128,0,,"[0.72619, 0.0]","[-0.61915, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.3,128,0,,"[0.72784, 0.0]","[-0.62744, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.4,128,0,,"[0.72932, 0.0]","[-0.62724, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.5,128,0,,"[0.73104, 0.0]","[-0.63553, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.6,128,0,,"[0.73234, 0.0]","[-0.64375, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.7,128,0,,"[0.73354, 0.0]","[-0.65186, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.8,128,0,,"[0.73484, 0.0]","[-0.65981, 0.0]"
Refine-MF,10,0.5,0.1,0,100,random,0.9,128,0,,"[0.73583, 0.0]","[-0.66757, 0.0]"
