model,rank,alpha,lambda,lambda2,iter,mode,confidence,batch_size,step,source,AUC,NLL
MF,10,0,0.1,0,200,none,0,128,0,unif,"[0.56359, 0.0]","[-0.51389, 0.0]"
MF,10,0,0.1,0,200,none,0,64,0,unif,"[0.566, 0.0]","[-0.50977, 0.0]"
MF,10,0,0.1,0,200,none,0,32,0,unif,"[0.56744, 0.0]","[-0.50784, 0.0]"
MF,10,0,0.01,0,200,none,0,128,0,unif,"[0.56334, 0.0]","[-0.51393, 0.0]"
MF,10,0,0.01,0,200,none,0,64,0,unif,"[0.56408, 0.0]","[-0.51286, 0.0]"
MF,10,0,0.01,0,200,none,0,32,0,unif,"[0.56366, 0.0]","[-0.52265, 0.0]"
MF,10,0,0.001,0,200,none,0,128,0,unif,"[0.55222, 0.0]","[-0.65178, 0.0]"
MF,10,0,0.001,0,200,none,0,64,0,unif,"[0.55243, 0.0]","[-0.64978, 0.0]"
MF,10,0,0.001,0,200,none,0,32,0,unif,"[0.55226, 0.0]","[-0.63798, 0.0]"
MF,10,0,0.0001,0,200,none,0,128,0,unif,"[0.55212, 0.0]","[-0.65182, 0.0]"
MF,10,0,0.0001,0,200,none,0,64,0,unif,"[0.55233, 0.0]","[-0.64981, 0.0]"
MF,10,0,0.0001,0,200,none,0,32,0,unif,"[0.55223, 0.0]","[-0.63802, 0.0]"
MF,10,0,1e-05,0,200,none,0,128,0,unif,"[0.55213, 0.0]","[-0.65183, 0.0]"
MF,10,0,1e-05,0,200,none,0,64,0,unif,"[0.55234, 0.0]","[-0.64981, 0.0]"
MF,10,0,1e-05,0,200,none,0,32,0,unif,"[0.5522, 0.0]","[-0.63802, 0.0]"
